,0
실력,47.3
창의,47.17
언어,47.11
부당,47.080000000000005
주말,46.989999999999995
특별,46.97
효과,46.63
야간,46.53
사례,46.31
연수,46.239999999999995
게임,46.239999999999995
범죄자,46.2
행사,46.17
중고,46.120000000000005
청소년법폐지,46.099999999999994
지속,46.02
등원,46.01
개편,45.99
방지,45.97
조정,45.76
전체,45.73000000000001
성교육,45.73
언제,45.71
면접,45.57000000000001
태풍,45.46999999999999
이전,45.45
세계,45.36
합리,45.339999999999996
단축,45.300000000000004
문화,45.22
종일,45.19
노출,45.14000000000001
작성,44.93
가격,44.89
최소,44.8
해외,44.77
사망,44.69
근로,44.52
기대,44.470000000000006
교권,44.339999999999996
등록,44.31
추진,44.27
반복,44.25
일본,44.17
분야,44.089999999999996
아버지,44.03
마찬가지,44.01
사업,44.0
단순,44.0
허용,43.97
연구,43.89
출제,43.82
거기,43.79
투명,43.75
공약,43.72
체험,43.699999999999996
기존,43.660000000000004
버스,43.599999999999994
방향,43.57
돌봄교실,43.510000000000005
방과후,43.49
위주,43.470000000000006
재단,43.33
대안,43.25
보험,43.24
선행,43.18
장애인,43.050000000000004
인구,42.97
얼굴,42.94
구매,42.93
강요,42.9
당신,42.87
강의,42.81
숙제,42.68
미국,42.59
운동,42.59
민원,42.56
안심,42.510000000000005
이하,42.510000000000005
낭비,42.51
세대,42.45
아래,42.45
증가,42.43
인상,42.410000000000004
거리,42.410000000000004
종합,42.370000000000005
위원회,42.26
국회의원,41.99
실정,41.77
영유아,41.63
청년,41.629999999999995
의문,41.61
외국인,41.58
카드,41.56
전문가,41.53
기록,41.53
정확,41.36000000000001
유해,41.339999999999996
목소리,41.18
재수,41.14
실질,41.12
학점,41.11
학력,41.07000000000001
특목고,40.96000000000001
고생,40.940000000000005
대체,40.78
이거,40.77
부산여,40.699999999999996
이사,40.68000000000001
우선,40.57
사과,40.56000000000001
혼란,40.45
딸아이,40.42
저녁,40.39
대학원,40.38
논술,40.339999999999996
자료,40.339999999999996
철저,40.32000000000001
의심,40.300000000000004
잔인,40.28
고시,40.25
모집,40.24999999999999
시민,40.239999999999995
대다수,40.13000000000001
눈물,40.050000000000004
임산부,40.01
남성,40.01
청정기,39.94
성과,39.81999999999999
친환경,39.79
트폰,39.650000000000006
연령,39.519999999999996
촉구,39.510000000000005
학교생활,39.440000000000005
과거,39.39
통과,39.38
사이,39.330000000000005
요건,39.25000000000001
사정,39.21
주민,39.1
관리자,39.03999999999999
마스크,39.03
지정,38.97
근본,38.940000000000005
인사,38.94
의사,38.87
표현,38.86
그때,38.830000000000005
일반고,38.82
차원,38.78
만약,38.74
중간,38.61000000000001
시절,38.58
생기부,38.550000000000004
공공,38.480000000000004
형편,38.44
분위,38.43
대처,38.34
실시간,38.339999999999996
대표,38.339999999999996
실제,38.31999999999999
소식,38.290000000000006
기록부,38.22999999999999
인천,38.190000000000005
물질,38.03000000000001
휴원,38.01
하교,38.0
무기,37.959999999999994
투자,37.91
제출,37.79
설명,37.730000000000004
장려금,37.71999999999999
분위기,37.660000000000004
어머니,37.57
연차,37.519999999999996
발달,37.49
분노,37.49
자사고,37.480000000000004
년도,37.43
ebs,37.43
비교,37.42
반성,37.2
상위,37.07
당시,37.040000000000006
인력,37.04
교육자,37.03
실수,36.95
미안,36.93000000000001
나중,36.89
도시,36.78000000000001
인건비,36.75
야자,36.74
낙태,36.739999999999995
시점,36.730000000000004
거주,36.7
고등,36.67
청소,36.66
연장,36.66
배치,36.620000000000005
무료,36.529999999999994
감독,36.43
추첨,36.339999999999996
양성,36.33
문자,36.230000000000004
